번호,부문,감축사업명,모니터링인자,원단위값,단위
3-6,건물,제로에너지 빌딩,사업면적[(주거용) ZEB 5등급]; 사업면적[(주거용) ZEB 4등급]; 사업면적[(주거용) ZEB 3등급]; 사업면적[(주거용) ZEB 2등급]; 사업면적[(비주거용) ZEB 5등급]; 사업면적[(비주거용) ZEB 4등급]; 사업면적[(비주거용) ZEB 3등급]; 사업면적[(비주거용) ZEB 2등급],0.010; 0.019; 0.027; 0.036; 0.006; 0.019; 0.033; 0.046,tCO2eq/㎡; tCO2eq/㎡; tCO2eq/㎡; tCO2eq/㎡; tCO2eq/㎡; tCO2eq/㎡; tCO2eq/㎡; tCO2eq/㎡
3-7,건물,건물에너지 효율등급 인증,[주거용] 에너지효율등급(1+++) 사업면적; [주거용] 에너지효율등급 (1++) 사업면적; [비주거용] 에너지효율등급 (1+++) 사업면적; [비주거용] 에너지효율등급 (1++) 사업면적,0.016; 0.009; 0.022; 0.008,tCO2eq/㎡; tCO2eq/㎡; tCO2eq/㎡; tCO2eq/㎡
3-8,건물,BEMS 설치 및 운영,사업 면적,0.0038,tCO2eq/㎡
3-9,건물,수요반응시스템(DR) 구축,수요반응 가입 용량,33.75,tCO2eq/MW
3-10,건물,공공 및 오피스 건물의 스마트 미터링 도입,사업 면적,0.00418,tCO2eq/㎡
3-11,건물,일과 중 냉난방기 1시간 운휴,사업면적(냉방시기 1시간 운휴); 사업면적(난방시기 1시간 운휴),0.000045; 0.000037,tCO2eq/㎡; tCO2eq/㎡
3-12,건물,히트펌프 설치,교체대수(기름(등유) 보일러 → 전기 히트펌프(SPF=3)); 교체대수(도시가스(LNG) 보일러 → 전기 히트펌프(SPF=3)); 교체대수(전기히터 보일러 → 전기 히트펌프(SPF=3)); 교체대수(기름(등유) 보일러 → 전기 히트펌프(SPF=6)); 교체대수(도시가스(LNG) 보일러 → 전기 히트펌프(SPF=6)); 교체대수(전기히터 보일러 → 전기 히트펌프(SPF=6)),7.300; 4.916; 4.781; 8.495; 6.111; 5.976,tCO2eq/대; tCO2eq/대; tCO2eq/대; tCO2eq/대; tCO2eq/대; tCO2eq/대
3-13,건물,잠열 회수형 온수 보일러 도입(가정),보급가구수,0.08,tCO2eq/가구
3-14,건물,가정용 환경표지인증 보일러 교체,교체대수(노후 보일러(LNG) → 환경표지인증 보일러(LNG)); 교체대수(노후 보일러(LPG) → 환경표지인증 보일러(LNG)); 교체대수(노후 보일러(등유) → 환경표지인증 보일러(LNG)),0.536; 0.328; 0.495,tCO2eq/대; tCO2eq/대; tCO2eq/대
3-15,건물,빗물 재이용 시설 도입,설비용량·시설대수,0.000237,tCO2eq/m3·대
3-16,건물,절수기기 보급,보급가구수,0.0078,tCO2eq/가구
